"feature_id","canonical_name","aliases","feature_family","plain_language_meaning","formula_or_algorithm","units","data_type","valid_domain","frequency","timestamp_convention","observation_key","raw_source_fields","preprocessing","window_and_warmup","lag_and_availability","missing_and_zero_behavior","normalization","sign_interpretation","producing_paths","hypothesis_ids","test_ids","leakage_or_survivorship_risk","verification_status"
"F-option-adverse-proxy","Absolute option movement proxy","adverse_proxy_5s|adverse_proxy_30s","post_close_alpha","Magnitude of the signed half-spread markout.","abs(F-option-markout-half-spread).","current half-spreads","float","greater than or equal to zero","option instrument|5s grid timestamp|horizon","Receive-time; outcome endpoint.","F-option-markout-half-spread","signed option half-spread markout","Same support and quality checks as signed markout.","5s or 30s outcome.","Available only at t+h.","Missing with signed markout.","absolute value","Larger means more absolute movement; not realized adverse selection.","research/src/shaurya/analytics/post_close_alpha_research.py","H-feature-selection-002","T-post-close-alpha-research","Calling it adverse selection would falsely imply a fill and side.","Verified from code"
"F-feature-correlation-cluster","Training-only correlation cluster","cluster_id|first_pc_transform","feature_selection","A group of redundant features represented by one member or a training-fitted first component.","Compute training-only pairwise Spearman correlations after quality gates; cluster at declared thresholds; choose deterministic representative or fit first PC; hash the mapping.","standardized model feature","structured","cluster membership over registered eligible features","fold|training boundary","Fold timestamps; no timezone-specific formula.","gated feature rows","gated training feature matrix; feature IDs; fold positions","Training rows only; affine duplicates and missingness diagnostics retained.","Requires eligible training rows per fold.","Mapping fixed before validation/test application.","Singletons retained; missing members handled by declared model transform.","training standardization or PC","PC sign is fixed deterministically; cluster itself has no economic sign.","research/src/shaurya/signals/feature_selection.py|research/src/shaurya/research/features.py","H-research-integrity-002|H-feature-selection-001","T-feature-correlation-reduction|T-feature-selection-walkforward|T-research-contracts-and-planner","Clustering on full data leaks test covariance and changes feature identity.","Verified from code"
"F-feature-conditional-oos-delta","Conditional OOS usefulness delta","delta_oos_r_squared|paired_loss_comparison","feature_selection","Change in held-out loss/R2 when a feature cluster or family is removed or block-permuted.","Fit full and comparator models on the same training rows; evaluate common outer rows; delta OOS R2 and paired block losses use identical targets and selected configs.","R2 difference and loss difference","float","unbounded; positive delta R2 favors full model","fold|model identity|cluster/family","Outer-test outcome time; folds causal.","full/comparator predictions and targets","full/comparator predictions; common outer targets; paired block IDs","Common-row alignment; training-only model selection; grouped block permutation.","Requires fitted full/comparator models and mature outer outcomes.","Available after outer fold evaluation.","Insufficient support/status remains explicit.","difference versus comparator","Positive delta OOS R2 means the retained feature group helped squared error.","research/src/shaurya/signals/feature_selection.py","H-research-integrity-002|H-feature-selection-001","T-feature-conditional-usefulness|T-feature-stability-selection","Selecting only positive same-fold deltas is multiplicity and winner's-curse risk.","Verified from code"
"F-source-keyed-ar1-control","Source-keyed AR(1) negative control","control.source_keyed_ar1_phi_0_8","feature_selection","Deterministic causal noise series used to detect spurious methodology significance.","AR(1) with phi=0.8 keyed only by source/time identity and no target input; registry and seed bind reproducibility.","dimensionless","float","unbounded real","source|instrument|anchor","Receive-time key.","source identity and time key","source identity; instrument; anchor timestamp; deterministic seed/state","Deterministic causal generation; no target access.","Recursive prior state required.","Available at anchor.","Initial state follows producer convention; no target-based imputation.","AR coefficient 0.8","No economic sign.","research/src/shaurya/research/mechanisms.py|research/registries/microstructure_features_v1.yaml","H-research-integrity-002|H-feature-selection-001","T-research-surfaces-nulls-multiplicity|T-research-v3-seeded-full-pipeline","A control correlated by construction with target inputs would invalidate the warning.","Verified from code|Verified from existing documentation"
"F-time-regime","Causal time and market regime labels","time_bucket|spread_normal|volatility_high|minutes_from_open","regime","Past/current-state strata for stability and conditional evaluation.","Apply declared session clock and causal predicates such as spread_ticks<=2 or trailing_volatility>=0.00005; never use future regime state.","categorical or minutes","categorical and float","declared finite categories","instrument|anchor","Receive-time with dated NSE IST session bounds.","receive time; spread; trailing volatility/activity","receive timestamp; dated session clock; spread; trailing volatility/activity","Use dated 09:15 open and date-versioned close; trailing state only.","Regime-specific trailing warm-up.","Available at anchor.","Insufficient regime support remains explicit.","threshold/bucketing only","Category-specific; no universal economic sign.","research/src/shaurya/research/stability.py|research/registries/alpha_research_policy_v1.yaml","H-research-integrity-002|H-order-flow-003|H-deep-book-002|H-feature-selection-001","T-research-walkforward-and-synthetic|T-feature-stability-selection|T-sig21-construction-replay","Using realized future volatility or post-event regime state is look-ahead.","Verified from code|Verified from existing documentation"
"F-hf-futures-ccz-ofi-0p5s-m1-average-v1","futures.ccz_ofi_0p5s_m1_average.v1","ccz_ofi_w0p5__m1__average","order_flow","Versioned diagnostic_quarantined variable for the high-frequency construction freeze.","CCZ event OFI over (t-0.5s,t] divided by one common M=1 depth denominator.","dimensionless","float","[-infinity,+infinity]","instrument or option-contract|one-second decision anchor","Receive-time causal lineage; decision time in IST; source timestamps <= anchor.","session|connection_epoch|decision_timestamp|instrument or option contract","canonical futures/option BBO; L1-L5 quantity/order count; receive timestamp; connection epoch; expiry/strike/type","Reject crossed/invalid/stale inputs; preserve exact one-second endpoints and source lineage.","Feature-specific frozen window; rolling states never cross epochs.","Available at decision anchor only after all source inputs have arrived.","Stale, incomplete, crossed, unsupported, or zero-denominator inputs are missing; zero is retained only when mathematically observed.","Exactly as formula; no implicit standardization.","Positive is bid strengthening or ask depletion.","data/src/shaurya/data/high_frequency.py|research/registries/microstructure_features_v2.yaml","H-high-frequency-008","T-high-frequency-features|T-high-frequency-registries","Future endpoints, current-in-threshold leakage, stale as-of joins, reconnect bridging, and target-as-feature registration fail closed.","Verified from code|Verified from existing documentation"
"F-hf-futures-order-count-imbalance-cum5-v1","futures.order_count_imbalance_cum5.v1","lob__order_count_imbalance_cum5","book_state","Versioned secondary_conditional variable for the high-frequency construction freeze.","(sum bid order counts - sum ask order counts)/(sum bid + sum ask), over the registered depth.","dimensionless","float","[-1,+1]","instrument or option-contract|one-second decision anchor","Receive-time causal lineage; decision time in IST; source timestamps <= anchor.","session|connection_epoch|decision_timestamp|instrument or option contract","canonical futures/option BBO; L1-L5 quantity/order count; receive timestamp; connection epoch; expiry/strike/type","Reject crossed/invalid/stale inputs; preserve exact one-second endpoints and source lineage.","Feature-specific frozen window; rolling states never cross epochs.","Available at decision anchor only after all source inputs have arrived.","Stale, incomplete, crossed, unsupported, or zero-denominator inputs are missing; zero is retained only when mathematically observed.","Exactly as formula; no implicit standardization.","Positive means more visible bid-side resting orders.","data/src/shaurya/data/high_frequency.py|research/registries/microstructure_features_v2.yaml","H-high-frequency-003","T-high-frequency-features|T-high-frequency-registries","Future endpoints, current-in-threshold leakage, stale as-of joins, reconnect bridging, and target-as-feature registration fail closed.","Verified from code|Verified from existing documentation"
"F-hf-futures-quantity-imbalance-cum1-v1","futures.quantity_imbalance_cum1.v1","lob__quantity_imbalance_cum1","book_state","Versioned shadow_candidate variable for the high-frequency construction freeze.","(sum bid quantity - sum ask quantity)/(sum bid + sum ask), over the registered depth.","dimensionless","float","[-1,+1]","instrument or option-contract|one-second decision anchor","Receive-time causal lineage; decision time in IST; source timestamps <= anchor.","session|connection_epoch|decision_timestamp|instrument or option contract","canonical futures/option BBO; L1-L5 quantity/order count; receive timestamp; connection epoch; expiry/strike/type","Reject crossed/invalid/stale inputs; preserve exact one-second endpoints and source lineage.","Feature-specific frozen window; rolling states never cross epochs.","Available at decision anchor only after all source inputs have arrived.","Stale, incomplete, crossed, unsupported, or zero-denominator inputs are missing; zero is retained only when mathematically observed.","Exactly as formula; no implicit standardization.","Positive means more displayed bid quantity.","data/src/shaurya/data/high_frequency.py|research/registries/microstructure_features_v2.yaml","H-high-frequency-002","T-high-frequency-features|T-high-frequency-registries","Future endpoints, current-in-threshold leakage, stale as-of joins, reconnect bridging, and target-as-feature registration fail closed.","Verified from code|Verified from existing documentation"
"F-hf-futures-quantity-imbalance-cum5-v1","futures.quantity_imbalance_cum5.v1","none","book_state","Versioned control variable for the high-frequency construction freeze.","(sum bid quantity - sum ask quantity)/(sum bid + sum ask), over the registered depth.","dimensionless","float","[-1,+1]","instrument or option-contract|one-second decision anchor","Receive-time causal lineage; decision time in IST; source timestamps <= anchor.","session|connection_epoch|decision_timestamp|instrument or option contract","canonical futures/option BBO; L1-L5 quantity/order count; receive timestamp; connection epoch; expiry/strike/type","Reject crossed/invalid/stale inputs; preserve exact one-second endpoints and source lineage.","Feature-specific frozen window; rolling states never cross epochs.","Available at decision anchor only after all source inputs have arrived.","Stale, incomplete, crossed, unsupported, or zero-denominator inputs are missing; zero is retained only when mathematically observed.","Exactly as formula; no implicit standardization.","Positive means more displayed bid quantity.","data/src/shaurya/data/high_frequency.py|research/registries/microstructure_features_v2.yaml","H-high-frequency-001|H-high-frequency-002|H-high-frequency-003|H-high-frequency-004|H-high-frequency-005|H-high-frequency-006|H-high-frequency-007|H-high-frequency-008","T-high-frequency-features|T-high-frequency-registries","Future endpoints, current-in-threshold leakage, stale as-of joins, reconnect bridging, and target-as-feature registration fail closed.","Verified from code|Verified from existing documentation"
"F-hf-futures-microprice-tilt-ticks-v1","futures.microprice_tilt_ticks.v1","lob_microprice_tilt_ticks","book_state","Versioned shadow_candidate_redundant variable for the high-frequency construction freeze.","((A*q_bid+B*q_ask)/(q_bid+q_ask) - (A+B)/2)/0.05.","futures ticks","float","bounded by half the spread in ticks","instrument or option-contract|one-second decision anchor","Receive-time causal lineage; decision time in IST; source timestamps <= anchor.","session|connection_epoch|decision_timestamp|instrument or option contract","canonical futures/option BBO; L1-L5 quantity/order count; receive timestamp; connection epoch; expiry/strike/type","Reject crossed/invalid/stale inputs; preserve exact one-second endpoints and source lineage.","Feature-specific frozen window; rolling states never cross epochs.","Available at decision anchor only after all source inputs have arrived.","Stale, incomplete, crossed, unsupported, or zero-denominator inputs are missing; zero is retained only when mathematically observed.","Exactly as formula; no implicit standardization.","Positive tilts above midpoint.","data/src/shaurya/data/high_frequency.py|research/registries/microstructure_features_v2.yaml","H-high-frequency-001|H-high-frequency-002|H-high-frequency-003|H-high-frequency-004|H-high-frequency-005|H-high-frequency-006|H-high-frequency-007|H-high-frequency-008","T-high-frequency-features|T-high-frequency-registries","Future endpoints, current-in-threshold leakage, stale as-of joins, reconnect bridging, and target-as-feature registration fail closed.","Verified from code|Verified from existing documentation"
"F-hf-futures-prior-mid-move-5s-ticks-v1","futures.prior_mid_move_5s_ticks.v1","none","reversal","Versioned support variable for the high-frequency construction freeze.","(M_t-M_{t-5})/0.05 using exact same-epoch one-second endpoints.","futures ticks","float","real","instrument or option-contract|one-second decision anchor","Receive-time causal lineage; decision time in IST; source timestamps <= anchor.","session|connection_epoch|decision_timestamp|instrument or option contract","canonical futures/option BBO; L1-L5 quantity/order count; receive timestamp; connection epoch; expiry/strike/type","Reject crossed/invalid/stale inputs; preserve exact one-second endpoints and source lineage.","Feature-specific frozen window; rolling states never cross epochs.","Available at decision anchor only after all source inputs have arrived.","Stale, incomplete, crossed, unsupported, or zero-denominator inputs are missing; zero is retained only when mathematically observed.","Exactly as formula; no implicit standardization.","Positive means the prior move was upward.","data/src/shaurya/data/high_frequency.py|research/registries/microstructure_features_v2.yaml","H-high-frequency-001|H-high-frequency-002|H-high-frequency-003|H-high-frequency-004|H-high-frequency-005|H-high-frequency-006|H-high-frequency-007|H-high-frequency-008","T-high-frequency-features|T-high-frequency-registries","Future endpoints, current-in-threshold leakage, stale as-of joins, reconnect bridging, and target-as-feature registration fail closed.","Verified from code|Verified from existing documentation"
"F-hf-futures-mid-reversal-pressure-5s-v1","futures.mid_reversal_pressure_5s.v1","none","reversal","Versioned shadow_candidate variable for the high-frequency construction freeze.","Negative of futures.prior_mid_move_5s_ticks.v1.","futures ticks","float","real","instrument or option-contract|one-second decision anchor","Receive-time causal lineage; decision time in IST; source timestamps <= anchor.","session|connection_epoch|decision_timestamp|instrument or option contract","canonical futures/option BBO; L1-L5 quantity/order count; receive timestamp; connection epoch; expiry/strike/type","Reject crossed/invalid/stale inputs; preserve exact one-second endpoints and source lineage.","Feature-specific frozen window; rolling states never cross epochs.","Available at decision anchor only after all source inputs have arrived.","Stale, incomplete, crossed, unsupported, or zero-denominator inputs are missing; zero is retained only when mathematically observed.","Exactly as formula; no implicit standardization.","Positive predicts upward reversal pressure.","data/src/shaurya/data/high_frequency.py|research/registries/microstructure_features_v2.yaml","H-high-frequency-004","T-high-frequency-features|T-high-frequency-registries","Future endpoints, current-in-threshold leakage, stale as-of joins, reconnect bridging, and target-as-feature registration fail closed.","Verified from code|Verified from existing documentation"
"F-hf-parity-exatm-forward-median-v1","parity.exatm_forward_median.v1","F_exatm","parity","Versioned anchor variable for the high-frequency construction freeze.","Median of K+CE_mid-PE_mid over ATM +/-1..4 strikes excluding ATM; minimum five fresh pairs.","index points or support count","float","feature-specific","instrument or option-contract|one-second decision anchor","Receive-time causal lineage; decision time in IST; source timestamps <= anchor.","session|connection_epoch|decision_timestamp|instrument or option contract","canonical futures/option BBO; L1-L5 quantity/order count; receive timestamp; connection epoch; expiry/strike/type","Reject crossed/invalid/stale inputs; preserve exact one-second endpoints and source lineage.","Feature-specific frozen window; rolling states never cross epochs.","Available at decision anchor only after all source inputs have arrived.","Stale, incomplete, crossed, unsupported, or zero-denominator inputs are missing; zero is retained only when mathematically observed.","Exactly as formula; no implicit standardization.","Forward level has no standalone alpha sign.","data/src/shaurya/data/high_frequency.py|research/registries/microstructure_features_v2.yaml","H-high-frequency-001|H-high-frequency-002|H-high-frequency-003|H-high-frequency-004|H-high-frequency-005|H-high-frequency-006|H-high-frequency-007|H-high-frequency-008","T-high-frequency-features|T-high-frequency-registries","Future endpoints, current-in-threshold leakage, stale as-of joins, reconnect bridging, and target-as-feature registration fail closed.","Verified from code|Verified from existing documentation"
"F-hf-parity-pairs-exatm-v1","parity.pairs_exatm.v1","none","parity_quality","Versioned support variable for the high-frequency construction freeze.","Median of K+CE_mid-PE_mid over ATM +/-1..4 strikes excluding ATM; minimum five fresh pairs.","index points or support count","float","feature-specific","instrument or option-contract|one-second decision anchor","Receive-time causal lineage; decision time in IST; source timestamps <= anchor.","session|connection_epoch|decision_timestamp|instrument or option contract","canonical futures/option BBO; L1-L5 quantity/order count; receive timestamp; connection epoch; expiry/strike/type","Reject crossed/invalid/stale inputs; preserve exact one-second endpoints and source lineage.","Feature-specific frozen window; rolling states never cross epochs.","Available at decision anchor only after all source inputs have arrived.","Stale, incomplete, crossed, unsupported, or zero-denominator inputs are missing; zero is retained only when mathematically observed.","Exactly as formula; no implicit standardization.","Forward level has no standalone alpha sign.","data/src/shaurya/data/high_frequency.py|research/registries/microstructure_features_v2.yaml","H-high-frequency-001|H-high-frequency-002|H-high-frequency-003|H-high-frequency-004|H-high-frequency-005|H-high-frequency-006|H-high-frequency-007|H-high-frequency-008","T-high-frequency-features|T-high-frequency-registries","Future endpoints, current-in-threshold leakage, stale as-of joins, reconnect bridging, and target-as-feature registration fail closed.","Verified from code|Verified from existing documentation"
"F-hf-parity-range-exatm-v1","parity.range_exatm.v1","none","parity_quality","Versioned support variable for the high-frequency construction freeze.","Median of K+CE_mid-PE_mid over ATM +/-1..4 strikes excluding ATM; minimum five fresh pairs.","index points or support count","float","feature-specific","instrument or option-contract|one-second decision anchor","Receive-time causal lineage; decision time in IST; source timestamps <= anchor.","session|connection_epoch|decision_timestamp|instrument or option contract","canonical futures/option BBO; L1-L5 quantity/order count; receive timestamp; connection epoch; expiry/strike/type","Reject crossed/invalid/stale inputs; preserve exact one-second endpoints and source lineage.","Feature-specific frozen window; rolling states never cross epochs.","Available at decision anchor only after all source inputs have arrived.","Stale, incomplete, crossed, unsupported, or zero-denominator inputs are missing; zero is retained only when mathematically observed.","Exactly as formula; no implicit standardization.","Forward level has no standalone alpha sign.","data/src/shaurya/data/high_frequency.py|research/registries/microstructure_features_v2.yaml","H-high-frequency-001|H-high-frequency-002|H-high-frequency-003|H-high-frequency-004|H-high-frequency-005|H-high-frequency-006|H-high-frequency-007|H-high-frequency-008","T-high-frequency-features|T-high-frequency-registries","Future endpoints, current-in-threshold leakage, stale as-of joins, reconnect bridging, and target-as-feature registration fail closed.","Verified from code|Verified from existing documentation"
"F-hf-parity-max-quote-age-seconds-v1","parity.max_quote_age_seconds.v1","none","parity_quality","Versioned support variable for the high-frequency construction freeze.","Median of K+CE_mid-PE_mid over ATM +/-1..4 strikes excluding ATM; minimum five fresh pairs.","index points or support count","float","feature-specific","instrument or option-contract|one-second decision anchor","Receive-time causal lineage; decision time in IST; source timestamps <= anchor.","session|connection_epoch|decision_timestamp|instrument or option contract","canonical futures/option BBO; L1-L5 quantity/order count; receive timestamp; connection epoch; expiry/strike/type","Reject crossed/invalid/stale inputs; preserve exact one-second endpoints and source lineage.","Feature-specific frozen window; rolling states never cross epochs.","Available at decision anchor only after all source inputs have arrived.","Stale, incomplete, crossed, unsupported, or zero-denominator inputs are missing; zero is retained only when mathematically observed.","Exactly as formula; no implicit standardization.","Forward level has no standalone alpha sign.","data/src/shaurya/data/high_frequency.py|research/registries/microstructure_features_v2.yaml","H-high-frequency-001|H-high-frequency-002|H-high-frequency-003|H-high-frequency-004|H-high-frequency-005|H-high-frequency-006|H-high-frequency-007|H-high-frequency-008","T-high-frequency-features|T-high-frequency-registries","Future endpoints, current-in-threshold leakage, stale as-of joins, reconnect bridging, and target-as-feature registration fail closed.","Verified from code|Verified from existing documentation"
"F-hf-parity-basis-raw-v1","parity.basis_raw.v1","basis_raw","parity","Versioned support variable for the high-frequency construction freeze.","Displayed futures midpoint minus ex-ATM synthetic-forward median.","index points","float","real","instrument or option-contract|one-second decision anchor","Receive-time causal lineage; decision time in IST; source timestamps <= anchor.","session|connection_epoch|decision_timestamp|instrument or option contract","canonical futures/option BBO; L1-L5 quantity/order count; receive timestamp; connection epoch; expiry/strike/type","Reject crossed/invalid/stale inputs; preserve exact one-second endpoints and source lineage.","Feature-specific frozen window; rolling states never cross epochs.","Available at decision anchor only after all source inputs have arrived.","Stale, incomplete, crossed, unsupported, or zero-denominator inputs are missing; zero is retained only when mathematically observed.","Exactly as formula; no implicit standardization.","Positive means futures rich to synthetic forward.","data/src/shaurya/data/high_frequency.py|research/registries/microstructure_features_v2.yaml","H-high-frequency-001|H-high-frequency-002|H-high-frequency-003|H-high-frequency-004|H-high-frequency-005|H-high-frequency-006|H-high-frequency-007|H-high-frequency-008","T-high-frequency-features|T-high-frequency-registries","Future endpoints, current-in-threshold leakage, stale as-of joins, reconnect bridging, and target-as-feature registration fail closed.","Verified from code|Verified from existing documentation"
"F-hf-parity-basis-slow-median30-lag1-min10-v1","parity.basis_slow_median30_lag1_min10.v1","basis_slow","parity","Versioned support variable for the high-frequency construction freeze.","Median of the previous 30 one-second raw-basis observations; lag one; minimum ten.","index points","float","real","instrument or option-contract|one-second decision anchor","Receive-time causal lineage; decision time in IST; source timestamps <= anchor.","session|connection_epoch|decision_timestamp|instrument or option contract","canonical futures/option BBO; L1-L5 quantity/order count; receive timestamp; connection epoch; expiry/strike/type","Reject crossed/invalid/stale inputs; preserve exact one-second endpoints and source lineage.","Feature-specific frozen window; rolling states never cross epochs.","Available at decision anchor only after all source inputs have arrived.","Stale, incomplete, crossed, unsupported, or zero-denominator inputs are missing; zero is retained only when mathematically observed.","Exactly as formula; no implicit standardization.","Slow financing/measurement basis, not alpha.","data/src/shaurya/data/high_frequency.py|research/registries/microstructure_features_v2.yaml","H-high-frequency-001|H-high-frequency-002|H-high-frequency-003|H-high-frequency-004|H-high-frequency-005|H-high-frequency-006|H-high-frequency-007|H-high-frequency-008","T-high-frequency-features|T-high-frequency-registries","Future endpoints, current-in-threshold leakage, stale as-of joins, reconnect bridging, and target-as-feature registration fail closed.","Verified from code|Verified from existing documentation"
"F-hf-parity-syn-gap-v1","parity.syn_gap.v1","syn_gap","parity","Versioned support_sign_inverse variable for the high-frequency construction freeze.","Negative of (basis_raw-basis_slow); parity.syn_gap.v1 is the sign inverse.","index points","float","real","instrument or option-contract|one-second decision anchor","Receive-time causal lineage; decision time in IST; source timestamps <= anchor.","session|connection_epoch|decision_timestamp|instrument or option contract","canonical futures/option BBO; L1-L5 quantity/order count; receive timestamp; connection epoch; expiry/strike/type","Reject crossed/invalid/stale inputs; preserve exact one-second endpoints and source lineage.","Feature-specific frozen window; rolling states never cross epochs.","Available at decision anchor only after all source inputs have arrived.","Stale, incomplete, crossed, unsupported, or zero-denominator inputs are missing; zero is retained only when mathematically observed.","Exactly as formula; no implicit standardization.","Positive points upward for futures.","data/src/shaurya/data/high_frequency.py|research/registries/microstructure_features_v2.yaml","H-high-frequency-001|H-high-frequency-002|H-high-frequency-003|H-high-frequency-004|H-high-frequency-005|H-high-frequency-006|H-high-frequency-007|H-high-frequency-008","T-high-frequency-features|T-high-frequency-registries","Future endpoints, current-in-threshold leakage, stale as-of joins, reconnect bridging, and target-as-feature registration fail closed.","Verified from code|Verified from existing documentation"
"F-hf-parity-pressure-v1","parity.pressure.v1","parity_pressure","parity","Versioned core_bounded variable for the high-frequency construction freeze.","Negative of (basis_raw-basis_slow); parity.syn_gap.v1 is the sign inverse.","index points","float","real","instrument or option-contract|one-second decision anchor","Receive-time causal lineage; decision time in IST; source timestamps <= anchor.","session|connection_epoch|decision_timestamp|instrument or option contract","canonical futures/option BBO; L1-L5 quantity/order count; receive timestamp; connection epoch; expiry/strike/type","Reject crossed/invalid/stale inputs; preserve exact one-second endpoints and source lineage.","Feature-specific frozen window; rolling states never cross epochs.","Available at decision anchor only after all source inputs have arrived.","Stale, incomplete, crossed, unsupported, or zero-denominator inputs are missing; zero is retained only when mathematically observed.","Exactly as formula; no implicit standardization.","Positive points upward for futures.","data/src/shaurya/data/high_frequency.py|research/registries/microstructure_features_v2.yaml","H-high-frequency-001","T-high-frequency-features|T-high-frequency-registries","Future endpoints, current-in-threshold leakage, stale as-of joins, reconnect bridging, and target-as-feature registration fail closed.","Verified from code|Verified from existing documentation"
"F-hf-parity-fair-quality-v1","parity.fair_quality.v1","none","parity","Versioned secondary_transform variable for the high-frequency construction freeze.","parity_pressure/(range_exatm+0.25).","scaled pressure","float","real","instrument or option-contract|one-second decision anchor","Receive-time causal lineage; decision time in IST; source timestamps <= anchor.","session|connection_epoch|decision_timestamp|instrument or option contract","canonical futures/option BBO; L1-L5 quantity/order count; receive timestamp; connection epoch; expiry/strike/type","Reject crossed/invalid/stale inputs; preserve exact one-second endpoints and source lineage.","Feature-specific frozen window; rolling states never cross epochs.","Available at decision anchor only after all source inputs have arrived.","Stale, incomplete, crossed, unsupported, or zero-denominator inputs are missing; zero is retained only when mathematically observed.","Exactly as formula; no implicit standardization.","Same sign as parity pressure.","data/src/shaurya/data/high_frequency.py|research/registries/microstructure_features_v2.yaml","H-high-frequency-001|H-high-frequency-002|H-high-frequency-003|H-high-frequency-004|H-high-frequency-005|H-high-frequency-006|H-high-frequency-007|H-high-frequency-008","T-high-frequency-features|T-high-frequency-registries","Future endpoints, current-in-threshold leakage, stale as-of joins, reconnect bridging, and target-as-feature registration fail closed.","Verified from code|Verified from existing documentation"
"F-hf-option-quantity-imbalance-invdepth5-v1","option.quantity_imbalance_invdepth5.v1","imb_dw5","option_book","Versioned local_adjustment variable for the high-frequency construction freeze.","Quantity imbalance across L1-L5 with inverse-level weights 1/l.","dimensionless","float","[-1,+1]","instrument or option-contract|one-second decision anchor","Receive-time causal lineage; decision time in IST; source timestamps <= anchor.","session|connection_epoch|decision_timestamp|instrument or option contract","canonical futures/option BBO; L1-L5 quantity/order count; receive timestamp; connection epoch; expiry/strike/type","Reject crossed/invalid/stale inputs; preserve exact one-second endpoints and source lineage.","Feature-specific frozen window; rolling states never cross epochs.","Available at decision anchor only after all source inputs have arrived.","Stale, incomplete, crossed, unsupported, or zero-denominator inputs are missing; zero is retained only when mathematically observed.","Exactly as formula; no implicit standardization.","Positive means bid-weighted option depth.","data/src/shaurya/data/high_frequency.py|research/registries/microstructure_features_v2.yaml","H-high-frequency-001|H-high-frequency-002|H-high-frequency-003|H-high-frequency-004|H-high-frequency-005|H-high-frequency-006|H-high-frequency-007|H-high-frequency-008","T-high-frequency-features|T-high-frequency-registries","Future endpoints, current-in-threshold leakage, stale as-of joins, reconnect bridging, and target-as-feature registration fail closed.","Verified from code|Verified from existing documentation"
"F-hf-option-quantity-imbalance-cum1-v1","option.quantity_imbalance_cum1.v1","none","option_book","Versioned control variable for the high-frequency construction freeze.","(sum bid quantity - sum ask quantity)/(sum bid + sum ask), over the registered depth.","dimensionless","float","[-1,+1]","instrument or option-contract|one-second decision anchor","Receive-time causal lineage; decision time in IST; source timestamps <= anchor.","session|connection_epoch|decision_timestamp|instrument or option contract","canonical futures/option BBO; L1-L5 quantity/order count; receive timestamp; connection epoch; expiry/strike/type","Reject crossed/invalid/stale inputs; preserve exact one-second endpoints and source lineage.","Feature-specific frozen window; rolling states never cross epochs.","Available at decision anchor only after all source inputs have arrived.","Stale, incomplete, crossed, unsupported, or zero-denominator inputs are missing; zero is retained only when mathematically observed.","Exactly as formula; no implicit standardization.","Positive means more displayed bid quantity.","data/src/shaurya/data/high_frequency.py|research/registries/microstructure_features_v2.yaml","H-high-frequency-001|H-high-frequency-002|H-high-frequency-003|H-high-frequency-004|H-high-frequency-005|H-high-frequency-006|H-high-frequency-007|H-high-frequency-008","T-high-frequency-features|T-high-frequency-registries","Future endpoints, current-in-threshold leakage, stale as-of joins, reconnect bridging, and target-as-feature registration fail closed.","Verified from code|Verified from existing documentation"
"F-hf-option-quantity-imbalance-cum2-v1","option.quantity_imbalance_cum2.v1","none","option_book","Versioned control variable for the high-frequency construction freeze.","(sum bid quantity - sum ask quantity)/(sum bid + sum ask), over the registered depth.","dimensionless","float","[-1,+1]","instrument or option-contract|one-second decision anchor","Receive-time causal lineage; decision time in IST; source timestamps <= anchor.","session|connection_epoch|decision_timestamp|instrument or option contract","canonical futures/option BBO; L1-L5 quantity/order count; receive timestamp; connection epoch; expiry/strike/type","Reject crossed/invalid/stale inputs; preserve exact one-second endpoints and source lineage.","Feature-specific frozen window; rolling states never cross epochs.","Available at decision anchor only after all source inputs have arrived.","Stale, incomplete, crossed, unsupported, or zero-denominator inputs are missing; zero is retained only when mathematically observed.","Exactly as formula; no implicit standardization.","Positive means more displayed bid quantity.","data/src/shaurya/data/high_frequency.py|research/registries/microstructure_features_v2.yaml","H-high-frequency-001|H-high-frequency-002|H-high-frequency-003|H-high-frequency-004|H-high-frequency-005|H-high-frequency-006|H-high-frequency-007|H-high-frequency-008","T-high-frequency-features|T-high-frequency-registries","Future endpoints, current-in-threshold leakage, stale as-of joins, reconnect bridging, and target-as-feature registration fail closed.","Verified from code|Verified from existing documentation"
"F-hf-option-quantity-imbalance-cum3-v1","option.quantity_imbalance_cum3.v1","none","option_book","Versioned control variable for the high-frequency construction freeze.","(sum bid quantity - sum ask quantity)/(sum bid + sum ask), over the registered depth.","dimensionless","float","[-1,+1]","instrument or option-contract|one-second decision anchor","Receive-time causal lineage; decision time in IST; source timestamps <= anchor.","session|connection_epoch|decision_timestamp|instrument or option contract","canonical futures/option BBO; L1-L5 quantity/order count; receive timestamp; connection epoch; expiry/strike/type","Reject crossed/invalid/stale inputs; preserve exact one-second endpoints and source lineage.","Feature-specific frozen window; rolling states never cross epochs.","Available at decision anchor only after all source inputs have arrived.","Stale, incomplete, crossed, unsupported, or zero-denominator inputs are missing; zero is retained only when mathematically observed.","Exactly as formula; no implicit standardization.","Positive means more displayed bid quantity.","data/src/shaurya/data/high_frequency.py|research/registries/microstructure_features_v2.yaml","H-high-frequency-001|H-high-frequency-002|H-high-frequency-003|H-high-frequency-004|H-high-frequency-005|H-high-frequency-006|H-high-frequency-007|H-high-frequency-008","T-high-frequency-features|T-high-frequency-registries","Future endpoints, current-in-threshold leakage, stale as-of joins, reconnect bridging, and target-as-feature registration fail closed.","Verified from code|Verified from existing documentation"
